dito1,dito2,dito3,dito4,target
3034,5442,3698,3805,0
3034,5442,3698,3805,0
3062,5439,3709,3813,0
3062,5439,3709,3813,0
3074,5413,3696,3818,0
3074,5413,3696,3818,0
3083,5348,3641,3816,0
3083,5348,3641,3816,0
3082,5318,3615,3819,0
3082,5318,3615,3819,0
3136,5322,3622,3828,0
3136,5322,3622,3828,0
3155,5337,3630,3839,0
3155,5337,3630,3839,0
3169,5349,3636,3842,0
3169,5349,3636,3842,0
3167,5365,3635,3844,0
3167,5365,3635,3844,0
3160,5373,3624,3831,0
3160,5373,3624,3831,0
3139,5376,3619,3799,0
3139,5376,3619,3799,0
3148,5381,3617,3795,0
3148,5381,3617,3795,0
3158,5365,3546,3765,0
3158,5365,3546,3765,0
3162,5221,3438,3720,0
3162,5221,3438,3720,0
3158,5170,3407,3697,0
3158,5170,3407,3697,0
3147,5061,3336,3645,0
3147,5061,3336,3645,0
3128,4972,3312,3637,0
3128,4972,3312,3637,0
3117,4944,3307,3638,0
3117,4944,3307,3638,0
3094,4912,3297,3617,0
3094,4912,3297,3617,0
3071,4860,3263,3575,0
3071,4860,3263,3575,0
3049,4816,3218,3534,0
3049,4816,3218,3534,0
3028,4777,3195,3510,0
3028,4777,3195,3510,0
3012,4744,3179,3493,0
3012,4744,3179,3493,0
3018,4708,3148,3476,0
3018,4708,3148,3476,0
3013,4673,3133,3446,0
3013,4673,3133,3446,0
2992,4659,3128,3438,0
2992,4659,3128,3438,0
2986,4631,3121,3440,0
2986,4631,3121,3440,0
2991,4598,3107,3429,0
2991,4598,3107,3429,0
2975,4573,3087,3391,0
2975,4573,3087,3391,0
2971,4566,3081,3372,0
2971,4566,3081,3372,0
2973,4562,3071,3338,0
2973,4562,3071,3338,0
3058,4561,3060,3316,0
3058,4561,3060,3316,0
3069,4567,3072,3326,0
3069,4567,3072,3326,0
3079,4575,3090,3347,0
3079,4575,3090,3347,0
3039,4592,3107,3388,0
3039,4592,3107,3388,0
3081,4599,3118,3409,0
3081,4599,3118,3409,0
3093,4599,3123,3409,0
3093,4599,3123,3409,0
3100,4597,3122,3408,0
3100,4597,3122,3408,0
3112,4593,3122,3403,0
3112,4593,3122,3403,0
3058,4597,3122,3405,0
3058,4597,3122,3405,0
3076,4690,3170,3446,0
3076,4690,3170,3446,0
3049,4907,3433,3554,0
3049,4907,3433,3554,0
3040,5052,3537,3608,0
3040,5052,3537,3608,0
3052,5152,3627,3656,0
3052,5152,3627,3656,0
3069,5200,3695,3704,0
3069,5200,3695,3704,0
3070,5217,3696,3730,0
3070,5217,3696,3730,0
3074,5176,3599,3740,0
3074,5176,3599,3740,0
3074,5172,3568,3727,0
3074,5172,3568,3727,0
3065,5212,3625,3796,0
3065,5212,3625,3796,0
3073,5266,3685,3853,0
3073,5266,3685,3853,0
3172,5374,3544,3589,0
3172,5374,3544,3589,0
3178,5374,3544,3590,0
3178,5374,3544,3590,0
3179,5372,3539,3596,0
3179,5372,3539,3596,0
3153,5354,3506,3597,0
3153,5354,3506,3597,0
3116,5273,3447,3588,0
3116,5273,3447,3588,0
3098,5145,3378,3546,0
3098,5145,3378,3546,0
3083,4934,3262,3480,0
3083,4934,3262,3480,0
3075,4692,3123,3363,0
3075,4692,3123,3363,0
3072,4530,3005,3261,0
3072,4530,3005,3261,0
3050,4538,3020,3280,0
3050,4538,3020,3280,0
3049,4557,3037,3294,0
3049,4557,3037,3294,0
3064,4557,3029,3239,0
3064,4557,3029,3239,0
3093,4545,3000,3201,0
3093,4545,3000,3201,0
3126,4529,2989,3200,0
3126,4529,2989,3200,0
3142,4541,3001,3213,0
3142,4541,3001,3213,0
3206,4561,3011,3227,0
3206,4561,3011,3227,0
3205,4559,3007,3228,0
3205,4559,3007,3228,0
3090,4531,2993,3200,0
3090,4531,2993,3200,0
3041,4564,3006,3226,0
3041,4564,3006,3226,0
3005,4656,3063,3309,0
3005,4656,3063,3309,0
2990,4713,3107,3366,0
2990,4713,3107,3366,0
2982,4782,3157,3431,0
2982,4782,3157,3431,0
2985,4836,3215,3498,0
2985,4836,3215,3498,0
3004,4957,3248,3531,0
3004,4957,3248,3531,0
3028,5084,3304,3547,0
3028,5084,3304,3547,0
3060,5195,3414,3592,0
3060,5195,3414,3592,0
3134,5334,3572,3780,0
3134,5334,3572,3780,0
3180,5467,3668,3917,0
3180,5467,3668,3917,0
3206,5549,3709,3962,0
3206,5549,3709,3962,0
3219,5586,3749,4045,0
3219,5586,3749,4045,0
3220,5593,3750,3989,0
3220,5593,3750,3989,0
3124,5468,3544,3653,0
3124,5468,3544,3653,0
3073,5323,3381,3546,0
3073,5323,3381,3546,0
3054,5223,3328,3511,0
3054,5223,3328,3511,0
3043,5085,3270,3490,0
3043,5085,3270,3490,0
3043,5011,3297,3545,0
3043,5011,3297,3545,0
3061,4993,3449,3611,0
3061,4993,3449,3611,0
3105,4969,3546,3629,0
3105,4969,3546,3629,0
3120,4758,3262,3400,0
3120,4758,3262,3400,0
2937,4619,3049,3273,0
2937,4619,3049,3273,0
2933,4561,2985,3234,0
2933,4561,2985,3234,0
2918,4554,2974,3237,0
2918,4554,2974,3237,0
2945,4549,2957,3226,0
2945,4549,2957,3226,0
2936,4581,2973,3253,0
2936,4581,2973,3253,0
2855,4655,3022,3318,0
2855,4655,3022,3318,0
2846,4746,3105,3404,0
2846,4746,3105,3404,0
2948,4817,3194,3488,0
2948,4817,3194,3488,0
3092,4947,3433,3594,0
3092,4947,3433,3594,0
3105,5065,3693,3760,0
3105,5065,3693,3760,0
3065,5167,3840,3877,0
3065,5167,3840,3877,0
3012,4878,3159,3392,0
3012,4878,3159,3392,0
3015,4887,3166,3405,0
3015,4887,3166,3405,0
3016,4895,3173,3415,0
3016,4895,3173,3415,0
3013,4907,3177,3426,0
3013,4907,3177,3426,0
3013,4916,3184,3431,0
3013,4916,3184,3431,0
3010,4924,3191,3434,0
3010,4924,3191,3434,0
3009,4935,3203,3435,0
3009,4935,3203,3435,0
3012,4943,3209,3436,0
3012,4943,3209,3436,0
3009,4959,3216,3443,0
3009,4959,3216,3443,0
3004,4975,3223,3451,0
3004,4975,3223,3451,0
3006,4977,3228,3458,0
3006,4977,3228,3458,0
3011,4978,3232,3458,0
3011,4978,3232,3458,0
3010,4991,3234,3459,0
3010,4991,3234,3459,0
3020,5006,3243,3464,0
3020,5006,3243,3464,0
3025,5024,3251,3462,0
3025,5024,3251,3462,0
3031,5053,3257,3470,0
3031,5053,3257,3470,0
3033,5022,3234,3469,0
3033,5022,3234,3469,0
3030,5006,3223,3469,0
3030,5006,3223,3469,0
3036,4985,3215,3466,0
3036,4985,3215,3466,0
3040,4978,3213,3469,0
3040,4978,3213,3469,0
3046,4978,3214,3472,0
3046,4978,3214,3472,0
