dito1,dito2,dito3,dito4,target
3183,5361,3905,3889,0
3183,5361,3905,3889,0
3176,5359,3908,3890,0
3176,5359,3908,3890,0
3184,5360,3908,3885,0
3184,5360,3908,3885,0
3098,5361,3907,3886,0
3098,5361,3907,3886,0
3018,5357,3905,3890,0
3018,5357,3905,3890,0
3030,5443,4003,3932,0
3030,5443,4003,3932,0
2971,5146,3634,3698,0
2971,5146,3634,3698,0
2953,4459,3170,3388,0
2953,4459,3170,3388,0
2942,4433,3191,3384,0
2942,4433,3191,3384,0
2965,4783,3440,3578,0
2965,4783,3440,3578,0
2880,5046,3607,3711,0
2880,5046,3607,3711,0
2899,4762,3411,3511,0
2899,4762,3411,3511,0
2951,4573,3313,3432,0
2951,4573,3313,3432,0
2948,4568,3315,3483,0
2948,4568,3315,3483,0
2951,4601,3345,3533,0
2951,4601,3345,3533,0
2941,4611,3366,3557,0
2941,4611,3366,3557,0
2930,4646,3377,3568,0
2930,4646,3377,3568,0
2971,4673,3393,3579,0
2971,4673,3393,3579,0
2982,4682,3411,3601,0
2982,4682,3411,3601,0
2942,4699,3422,3609,0
2942,4699,3422,3609,0
2921,4722,3431,3618,0
2921,4722,3431,3618,0
2933,4726,3440,3626,0
2933,4726,3440,3626,0
2936,4731,3449,3641,0
2936,4731,3449,3641,0
2942,4820,3508,3662,0
2942,4820,3508,3662,0
2975,5027,3574,3749,0
2975,5027,3574,3749,0
2941,4904,3471,3635,0
2941,4904,3471,3635,0
2961,4667,3359,3542,0
2961,4667,3359,3542,0
2941,4870,3487,3646,0
2941,4870,3487,3646,0
2916,5139,3674,3808,0
2916,5139,3674,3808,0
2947,5050,3602,3749,0
2947,5050,3602,3749,0
2858,4999,3581,3708,0
2858,4999,3581,3708,0
2942,4962,3558,3699,0
2942,4962,3558,3699,0
2901,4922,3552,3713,0
2901,4922,3552,3713,0
2838,4935,3562,3714,0
2838,4935,3562,3714,0
2950,4955,3565,3715,0
2950,4955,3565,3715,0
2964,4936,3553,3706,0
2964,4936,3553,3706,0
2830,4901,3549,3694,0
2830,4901,3549,3694,0
2878,5063,3681,3785,0
2878,5063,3681,3785,0
2883,5416,4051,4093,0
2883,5416,4051,4093,0
2878,5361,3960,3955,0
2878,5361,3960,3955,0
2879,4936,3574,3658,0
2879,4936,3574,3658,0
2897,5103,3723,3789,0
2897,5103,3723,3789,0
2896,5257,3865,3918,0
2896,5257,3865,3918,0
2907,4961,3594,3764,0
2907,4961,3594,3764,0
2928,4946,3584,3753,0
2928,4946,3584,3753,0
2809,5132,3731,3899,0
2809,5132,3731,3899,0
2839,4903,3534,3753,0
2839,4903,3534,3753,0
2781,4561,3307,3545,0
2781,4561,3307,3545,0
2774,4622,3323,3540,0
2774,4622,3323,3540,0
2874,4883,3511,3691,0
2874,4883,3511,3691,0
2863,4411,3180,3498,0
2863,4411,3180,3498,0
2851,4075,2943,3294,0
2851,4075,2943,3294,0
2901,3934,2870,3206,0
2901,3934,2870,3206,0
2913,3929,2876,3195,0
2913,3929,2876,3195,0
2918,3978,2921,3234,0
2918,3978,2921,3234,0
2906,3999,2949,3264,0
2906,3999,2949,3264,0
2886,4037,2978,3286,0
2886,4037,2978,3286,0
3016,4068,3011,3314,0
3016,4068,3011,3314,0
3077,4080,3027,3323,0
3077,4080,3027,3323,0
2886,4083,3039,3333,0
2886,4083,3039,3333,0
2928,4092,3052,3341,0
2928,4092,3052,3341,0
2932,4094,3066,3360,0
2932,4094,3066,3360,0
2841,4087,3071,3374,0
2841,4087,3071,3374,0
2904,4097,3086,3386,0
2904,4097,3086,3386,0
2886,4121,3097,3409,0
2886,4121,3097,3409,0
2773,4145,3116,3419,0
2773,4145,3116,3419,0
2793,4188,3160,3450,0
2793,4188,3160,3450,0
2794,4496,3465,3637,0
2794,4496,3465,3637,0
2718,4887,3779,3827,0
2718,4887,3779,3827,0
2687,4763,3635,3719,0
2687,4763,3635,3719,0
2738,4391,3263,3499,0
2738,4391,3263,3499,0
2861,4424,3259,3508,0
2861,4424,3259,3508,0
2920,4728,3497,3660,0
2920,4728,3497,3660,0
2896,4907,3558,3691,0
2896,4907,3558,3691,0
2936,4530,3277,3521,0
2936,4530,3277,3521,0
2979,4369,3170,3393,0
2979,4369,3170,3393,0
2886,4835,3593,3607,0
2886,4835,3593,3607,0
2922,5296,3940,3782,0
2922,5296,3940,3782,0
2869,4610,3424,3561,0
2869,4610,3424,3561,0
2936,4324,3140,3405,0
2936,4324,3140,3405,0
2951,4568,3352,3552,0
2951,4568,3352,3552,0
2989,5238,4187,4098,0
2989,5238,4187,4098,0
2952,5473,4554,4749,0
2952,5473,4554,4749,0
3036,4534,3548,3680,0
3036,4534,3548,3680,0
3093,4326,3179,3387,0
3093,4326,3179,3387,0
3116,4790,3697,3733,0
3116,4790,3697,3733,0
3100,5593,4620,5139,0
3100,5593,4620,5139,0
3127,5175,4245,4509,0
3127,5175,4245,4509,0
3155,4461,3309,3541,0
3155,4461,3309,3541,0
3185,4452,3246,3451,0
3185,4452,3246,3451,0
3110,5148,3894,3947,0
3110,5148,3894,3947,0
3158,5442,4112,4067,0
3158,5442,4112,4067,0
3190,4735,3513,3603,0
3190,4735,3513,3603,0
3159,5007,3768,3789,0
3159,5007,3768,3789,0
3131,5804,4560,4947,0
3131,5804,4560,4947,0
3138,5649,4397,4607,0
3138,5649,4397,4607,0
3133,4776,3508,3656,0
3133,4776,3508,3656,0
3141,4955,3618,3729,0
3141,4955,3618,3729,0
3134,5587,4313,4418,0
3134,5587,4313,4418,0
3155,5876,4556,4784,0
3155,5876,4556,4784,0
3124,5009,3774,3943,0
3124,5009,3774,3943,0
3091,4630,3445,3636,0
3091,4630,3445,3636,0
3244,4641,3461,3638,0
3244,4641,3461,3638,0
3925,4644,3474,3639,0
3925,4644,3474,3639,0
3321,4627,3484,3637,0
3321,4627,3484,3637,0
3157,4631,3489,3634,0
3157,4631,3489,3634,0
