dito1,dito2,dito3,dito4,target
4023,9653,10385,7861,3
4023,9653,10385,7861,3
4036,9650,10384,7865,3
4036,9650,10384,7865,3
4064,9653,10384,7866,3
4064,9653,10384,7866,3
4068,9657,10388,7869,3
4068,9657,10388,7869,3
4062,9655,10384,7871,3
4062,9655,10384,7871,3
4078,9654,10383,7874,3
4078,9654,10383,7874,3
4085,9656,10376,7875,3
4085,9656,10376,7875,3
4090,9656,10386,7875,3
4090,9656,10386,7875,3
4106,9656,10387,7877,3
4106,9656,10387,7877,3
4115,9654,10391,7877,3
4115,9654,10391,7877,3
4120,9654,10388,7876,3
4120,9654,10388,7876,3
4129,9656,10386,7877,3
4129,9656,10386,7877,3
4135,9655,10377,7880,3
4135,9655,10377,7880,3
4147,9659,10393,7880,3
4147,9659,10393,7880,3
4155,9658,10390,7881,3
4155,9658,10390,7881,3
4158,9658,10388,7882,3
4158,9658,10388,7882,3
4159,9659,10391,7884,3
4159,9659,10391,7884,3
4163,9657,10391,7884,3
4163,9657,10391,7884,3
4188,9673,10391,7901,3
4188,9673,10391,7901,3
4176,9660,10390,7885,3
4176,9660,10390,7885,3
4179,9658,10390,7882,3
4179,9658,10390,7882,3
4179,9660,10372,7882,3
4179,9660,10372,7882,3
4180,9661,10390,7883,3
4180,9661,10390,7883,3
4183,9661,10389,7884,3
4183,9661,10389,7884,3
4180,9662,10390,7886,3
4180,9662,10390,7886,3
4186,9663,10380,7885,3
4186,9663,10380,7885,3
4190,9662,10393,7884,3
4190,9662,10393,7884,3
4195,9664,10374,7885,3
4195,9664,10374,7885,3
4204,9664,10391,7887,3
4204,9664,10391,7887,3
4211,9663,10391,7888,3
4211,9663,10391,7888,3
4215,9661,10395,7889,3
4215,9661,10395,7889,3
4222,9662,10386,7889,3
4222,9662,10386,7889,3
4228,9665,10396,7888,3
4228,9665,10396,7888,3
4235,9666,10400,7889,3
4235,9666,10400,7889,3
4239,9665,10396,7890,3
4239,9665,10396,7890,3
4241,9667,10407,7890,3
4241,9667,10407,7890,3
4242,9667,10401,7891,3
4242,9667,10401,7891,3
4241,9667,10399,7891,3
4241,9667,10399,7891,3
4244,9666,10393,7892,3
4244,9666,10393,7892,3
4245,9665,10397,7891,3
4245,9665,10397,7891,3
4244,9666,10400,7890,3
4244,9666,10400,7890,3
4247,9666,10404,7891,3
4247,9666,10404,7891,3
4248,9666,10402,7892,3
4248,9666,10402,7892,3
4252,9668,10395,7892,3
4252,9668,10395,7892,3
4256,9668,10387,7893,3
4256,9668,10387,7893,3
4260,9669,10403,7894,3
4260,9669,10403,7894,3
4263,9669,10397,7893,3
4263,9669,10397,7893,3
4266,9670,10398,7894,3
4266,9670,10398,7894,3
4267,9671,10399,7895,3
4267,9671,10399,7895,3
4267,9671,10399,7894,3
4267,9671,10399,7894,3
4278,9677,10398,7900,3
4278,9677,10398,7900,3
4273,9671,10399,7896,3
4273,9671,10399,7896,3
4280,9672,10397,7896,3
4280,9672,10397,7896,3
4282,9671,10396,7896,3
4282,9671,10396,7896,3
4287,9672,10397,7897,3
4287,9672,10397,7897,3
4288,9672,10402,7898,3
4288,9672,10402,7898,3
4285,9672,10403,7899,3
4285,9672,10403,7899,3
4297,9669,10390,7899,3
4297,9669,10390,7899,3
4308,9670,10395,7899,3
4308,9670,10395,7899,3
4312,9673,10397,7899,3
